antecedents,consequents,support,confidence,lift
Motherboard:ASUS Prime B560M-A | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0277,0.33946078431372545,1.5409023346061075
GPU:Radeon RX 6600 XT | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.014,0.28169014084507044,1.5317571552206113
GPU:Radeon RX 6600 XT,PSU:Corsair CV550 | Storage:Samsung 980 1TB NVMe SSD,0.0132,0.20465116279069767,1.5261085965003556
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:WD Black SN770 1TB NVMe SSD,Motherboard:MSI B550M PRO-VDH WiFi,0.0121,0.2520833333333333,1.522242351046699
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:Crucial P3 1TB NVMe SSD,Motherboard:MSI B550M PRO-VDH WiFi,0.0107,0.2505854800936768,1.5131973435608503
GPU:Radeon RX 6600 XT,Storage:Kingston NV2 500GB NVMe SSD,0.0179,0.2775193798449612,1.5090776500541665
RAM:G.Skill Ripjaws V 32GB DDR4,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0415,0.26705276705276704,1.5070697914941706
Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,RAM:G.Skill Ripjaws V 32GB DDR4,0.0415,0.23419864559819414,1.5070697914941706
GPU:GeForce RTX 2060 | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.027,0.33088235294117646,1.5019625644175054
PSU:MSI MAG A650BN | RAM:Kingston Fury Beast 16GB DDR4,Motherboard:MSI B550M PRO-VDH WiFi,0.0111,0.24832214765100674,1.499529877119606
GPU:GeForce RTX 2060,RAM:Kingston Fury Beast 16GB DDR4,0.0339,0.32132701421800947,1.4945442521767882
GPU:GeForce RTX 2060 | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.0262,0.321078431372549,1.4933880528955767
GPU:Radeon RX 6600 XT,PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,0.014,0.21705426356589147,1.490757304710793
Motherboard:ASUS Prime B560M-A,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.0277,0.2586367880485527,1.4881288150089338
GPU:Radeon RX 6700 XT,RAM:G.Skill Ripjaws V 32GB DDR4,0.0128,0.23063063063063063,1.4841095922177003
GPU:GeForce RTX 3070,RAM:Corsair Vengeance LPX 32GB DDR4,0.0208,0.23963133640552994,1.4801194342528101
Motherboard:Gigabyte B550 AORUS Elite AX V2 | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.012,0.272108843537415,1.4796565717097063
Motherboard:ASUS Prime B560M-A,RAM:Corsair Vengeance LPX 16GB DDR4,0.0349,0.3258636788048553,1.4791814743751943
Motherboard:MSI B550M PRO-VDH WiFi | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0391,0.3247508305647841,1.4741299617103227
GPU:GeForce RTX 2060,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.027,0.2559241706161137,1.4725211197705046
Motherboard:MSI MAG B560M Mortar WiFi | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.0231,0.31471389645776565,1.4637855649198404
GPU:GeForce RTX 2060,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.0262,0.24834123222748816,1.4608307778087537
PSU:MSI MAG A650BN | RAM:Corsair Vengeance LPX 16GB DDR4,Motherboard:MSI B550M PRO-VDH WiFi,0.0111,0.24130434782608698,1.4571518588531822
Motherboard:MSI B550M PRO-VDH WiFi | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.0377,0.31312292358803984,1.456385691107162
Motherboard:MSI B550M PRO-VDH WiFi | Storage:WD Black SN770 1TB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.0111,0.3126760563380282,1.4543072387815266
Motherboard:Gigabyte B550 AORUS Elite AX V2 | Storage:WD Black SN770 1TB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0107,0.31845238095238093,1.4455396321034086
GPU:GeForce RTX 2060,RAM:Corsair Vengeance LPX 16GB DDR4,0.0335,0.3175355450236967,1.4413778711924499
Motherboard:Gigabyte B560 AORUS PRO AX | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.018,0.30874785591766724,1.4360365391519407
RAM:Kingston Fury Beast 16GB DDR4 | Storage:WD Black SN770 1TB NVMe SSD,Motherboard:MSI B550M PRO-VDH WiFi,0.0111,0.23768736616702357,1.4353101821680168
Motherboard:MSI MAG B560M Mortar WiFi,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.0231,0.24392819429778245,1.434871731163426
Motherboard:Gigabyte B550 AORUS Elite AX V2 | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0355,0.31471631205673756,1.428580626676067
Motherboard:ASUS TUF Gaming B550-PLUS WiFi II | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 32GB DDR4,0.025,0.23084025854108958,1.4258200033421222
Motherboard:MSI B550M PRO-VDH WiFi | PSU:MSI MAG A650BN,RAM:Kingston Fury Beast 16GB DDR4,0.0111,0.3057851239669422,1.4222563905439172
GPU:Radeon RX 6600 XT | PSU:Corsair CV550,Storage:Samsung 980 1TB NVMe SSD,0.0132,0.2655935613682093,1.4202864244289266
Motherboard:MSI MAG B560M Mortar WiFi | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.0191,0.2602179836512261,1.414997192230702
Motherboard:MSI MAG B560M Mortar WiFi,RAM:Kingston Fury Beast 16GB DDR4,0.0288,0.3041182682154171,1.4145035730949633
Motherboard:ASUS TUF Gaming B550-PLUS WiFi II | PSU:Corsair CV550,RAM:G.Skill Ripjaws V 32GB DDR4,0.0238,0.2197599261311173,1.4141565388102786
GPU:Radeon RX 6600,Storage:Samsung 980 1TB NVMe SSD,0.0161,0.26436781609195403,1.4137316368553692
RAM:Kingston Fury Beast 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,Motherboard:MSI B550M PRO-VDH WiFi,0.0154,0.23404255319148937,1.4133004419775927
GPU:Radeon RX 6600 | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.0119,0.25925925925925924,1.4097839002678587
GPU:Radeon RX 6600 | PSU:Corsair CV550,Storage:Crucial P3 1TB NVMe SSD,0.011,0.23965141612200433,1.4055801532082364
Motherboard:MSI MAG B560M Mortar WiFi,Storage:Kingston NV2 500GB NVMe SSD,0.0244,0.2576557550158395,1.4010644644689476
PSU:Cooler Master MWE 650 Bronze V2,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0139,0.24777183600713013,1.3982609255481384
GPU:GeForce GTX 1660 Super,Motherboard:MSI B550M PRO-VDH WiFi,0.0218,0.2314225053078556,1.3974788967865677
GPU:Radeon RX 6600 | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0141,0.3071895424836601,1.3944146277061285
GPU:Radeon RX 6600,RAM:Corsair Vengeance LPX 16GB DDR4,0.0187,0.3070607553366174,1.3938300287635834
RAM:Kingston Fury Beast 64GB DDR4,PSU:MSI MAG A650BN,0.0119,0.30909090909090914,1.3929288377237907
GPU:Radeon RX 6600 XT,Storage:Samsung 980 1TB NVMe SSD,0.0168,0.26046511627906976,1.3928615843800523
Motherboard:Gigabyte B560 AORUS PRO AX,RAM:Corsair Vengeance LPX 32GB DDR4,0.0177,0.22519083969465647,1.3909255076878104
GPU:Radeon RX 6600 XT | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0152,0.3058350100603622,1.3882660465744991
Motherboard:MSI B550M PRO-VDH WiFi | PSU:MSI MAG A650BN,RAM:Corsair Vengeance LPX 16GB DDR4,0.0111,0.3057851239669422,1.3880396003946536
GPU:Radeon RX 6700 XT | PSU:Corsair CV550,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0101,0.24574209245742093,1.3868063908432333
GPU:Radeon RX 6800 | PSU:Corsair CV550,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0101,0.24574209245742093,1.3868063908432333
Motherboard:MSI MAG B560M Mortar WiFi,PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,0.0191,0.20168954593453006,1.3852303979019922
GPU:Radeon RX 6800,PSU:MSI MAG A650BN,0.0207,0.3062130177514793,1.3799595211873785
GPU:Radeon RX 6600 XT | Storage:WD Black SN770 1TB NVMe SSD,PSU:Corsair CV550,0.0129,0.8657718120805369,1.3762069815300222
Motherboard:MSI B550M PRO-VDH WiFi,RAM:Corsair Vengeance LPX 16GB DDR4,0.0502,0.3031400966183575,1.3760331212816954
RAM:Corsair Vengeance LPX 16GB DDR4,Motherboard:MSI B550M PRO-VDH WiFi,0.0502,0.22787108488424876,1.3760331212816954
Motherboard:MSI B550M PRO-VDH WiFi,RAM:Kingston Fury Beast 16GB DDR4,0.0488,0.2946859903381643,1.3706325132007642
RAM:Kingston Fury Beast 16GB DDR4,Motherboard:MSI B550M PRO-VDH WiFi,0.0488,0.22697674418604652,1.370632513200764
GPU:Radeon RX 6600,Storage:Kingston NV2 500GB NVMe SSD,0.0153,0.25123152709359603,1.3661311968112888
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,Motherboard:MSI B550M PRO-VDH WiFi,0.0153,0.22599704579025112,1.3647164600860575
Motherboard:Gigabyte B550 AORUS Elite AX V2 | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.033,0.2925531914893617,1.3607125185551707
GPU:Radeon RX 6600 XT | PSU:Corsair CV550,Storage:WD Black SN770 1TB NVMe SSD,0.0129,0.2595573440643863,1.3589389741590905
Motherboard:MSI B550M PRO-VDH WiFi,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.0391,0.23611111111111113,1.3585219281421814
PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,Motherboard:MSI B550M PRO-VDH WiFi,0.0391,0.22497123130034521,1.3585219281421812
GPU:Radeon RX 6600 XT,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.0152,0.23565891472868217,1.3559201077599663
GPU:GeForce GTX 1660 Super | PSU:Corsair CV550,Motherboard:MSI B550M PRO-VDH WiFi,0.0167,0.22446236559139787,1.355449067580905
RAM:Corsair Vengeance LPX 32GB DDR4,Motherboard:Gigabyte B550 AORUS Elite AX V2,0.0367,0.22668313773934531,1.3501080270360055
Motherboard:Gigabyte B550 AORUS Elite AX V2,RAM:Corsair Vengeance LPX 32GB DDR4,0.0367,0.21858248957712928,1.3501080270360055
CPU:AMD Ryzen 3 3300X,PSU:Corsair CV550,0.0107,0.8492063492063492,1.3498749788687796
GPU:Radeon RX 6600,Storage:WD Black SN770 1TB NVMe SSD,0.0157,0.257799671592775,1.349736500485733
Motherboard:Gigabyte B560 AORUS PRO AX,RAM:Kingston Fury Beast 16GB DDR4,0.0228,0.2900763358778626,1.3491922598970352
Motherboard:Gigabyte B560 AORUS PRO AX,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.018,0.22900763358778622,1.3471037269869777
GPU:Radeon RX 6600 XT | RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.0152,0.8444444444444446,1.342305586463908
GPU:Radeon RX 6700 XT | RAM:G.Skill Ripjaws V 32GB DDR4,PSU:Corsair CV550,0.0108,0.84375,1.3412017167381975
GPU:Radeon RX 6600 XT | RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550,0.014,0.8433734939759037,1.340603233151969
GPU:GeForce RTX 3070 | PSU:Corsair CV550,Storage:WD Black SN770 1TB NVMe SSD,0.0149,0.25601374570446733,1.3403861031647504
GPU:Radeon RX 6600 | PSU:Corsair CV550,Storage:Samsung 980 1TB NVMe SSD,0.0115,0.25054466230936817,1.3398110283923432
Motherboard:MSI B550M PRO-VDH WiFi,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.0377,0.22765700483091786,1.3391588519465756
PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,Motherboard:MSI B550M PRO-VDH WiFi,0.0377,0.22176470588235292,1.3391588519465756
CPU:AMD Ryzen 7 1800X,PSU:Corsair CV550,0.0101,0.8416666666666666,1.3378901075610659
GPU:Radeon RX 6600 | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.0132,0.2875816993464052,1.3375892992856055
GPU:Radeon RX 6500 XT | Motherboard:ASUS Prime B560M-A,PSU:Corsair CV550,0.0141,0.8392857142857143,1.3341054113586304
PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 32GB DDR4,Motherboard:Gigabyte B550 AORUS Elite AX V2,0.0238,0.22389463781749766,1.333499927441916
GPU:GeForce RTX 3070 | RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.0109,0.8384615384615385,1.3327953242116333
GPU:Radeon RX 6600,PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 16GB DDR4,0.0141,0.2315270935960591,1.332146683521629
GPU:GeForce RTX 2060 | Motherboard:ASUS Prime B560M-A,PSU:Corsair CV550,0.0134,0.8375,1.3312668892068034
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:WD Black SN770 1TB NVMe SSD,Motherboard:Gigabyte B550 AORUS Elite AX V2,0.0107,0.22291666666666665,1.3276752034941433
PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 32GB DDR4,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.025,0.23518344308560676,1.3272203334402188
PSU:Corsair CV550 | RAM:G.Skill Ripjaws V 32GB DDR4,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0238,0.2349457058242843,1.3258787010399793
PSU:MSI MAG A650BN | RAM:Kingston Fury Beast 16GB DDR4,Storage:Crucial P3 1TB NVMe SSD,0.0101,0.22595078299776286,1.325224533711219
GPU:Radeon RX 6600 | Storage:Crucial P3 1TB NVMe SSD,PSU:Corsair CV550,0.011,0.8333333333333333,1.3246436708525406
Motherboard:Gigabyte B560 AORUS PRO AX | PSU:Corsair CV550,RAM:G.Skill Ripjaws V 32GB DDR4,0.012,0.2058319039451115,1.3245296264164188
GPU:GeForce GTX 1650 | RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.0164,0.8324873096446702,1.323298854943046
GPU:GeForce RTX 2060 | Storage:Crucial P3 1TB NVMe SSD,PSU:Corsair CV550,0.018,0.8294930875576036,1.3185393221389345
Motherboard:Gigabyte B560 AORUS PRO AX,RAM:G.Skill Ripjaws V 32GB DDR4,0.0161,0.20483460559796438,1.3181120051349058
GPU:Radeon RX 6700 XT | Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,PSU:Corsair CV550,0.0101,0.8278688524590163,1.31595748284695
Motherboard:Gigabyte B550 AORUS Elite AX V2 | Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550,0.0265,0.825545171339564,1.3122638234613957
GPU:Radeon RX 6600 XT | PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.014,0.28169014084507044,1.3101867016049789
PSU:Corsair CV550 | Storage:Crucial P3 1TB NVMe SSD,RAM:Kingston Fury Beast 16GB DDR4,0.034,0.28075970272502065,1.3058590824419565
PSU:Corsair CV550 | RAM:G.Skill Ripjaws V 32GB DDR4,Motherboard:MSI B550M PRO-VDH WiFi,0.0219,0.21618953603158933,1.3054923673405152
GPU:Radeon RX 6500 XT | Storage:Samsung 980 1TB NVMe SSD,PSU:Corsair CV550,0.0124,0.8211920529801324,1.3053442266414441
Motherboard:ASUS Prime B560M-A | Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550,0.0265,0.8204334365325077,1.304138350870303
Motherboard:Gigabyte B550 AORUS Elite AX V2 | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 32GB DDR4,0.0238,0.21099290780141847,1.3032298196505157
GPU:Radeon RX 6500 XT | Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550,0.03,0.8196721311475409,1.3029282008385645
GPU:GeForce GTX 1660 Super | PSU:Corsair CV550,Storage:WD Black SN770 1TB NVMe SSD,0.0185,0.24865591397849462,1.301863423971176
GPU:GeForce GTX 1660 Super | Storage:WD Black SN770 1TB NVMe SSD,PSU:Corsair CV550,0.0185,0.8185840707964602,1.301198650129487
Motherboard:MSI B550M PRO-VDH WiFi | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.0288,0.23920265780730898,1.300721358386672
GPU:Radeon RX 6600 | PSU:Corsair CV550,Storage:WD Black SN770 1TB NVMe SSD,0.0114,0.2483660130718954,1.3003456181774629
GPU:GeForce RTX 3060 Ti | Storage:Crucial P3 1TB NVMe SSD,PSU:Corsair CV550,0.0112,0.8175182481751825,1.2995044479020545
CPU:AMD Ryzen 7 PRO 3700,PSU:Corsair CV550,0.0138,0.8165680473372782,1.297994034870892
GPU:GeForce RTX 2060 | PSU:Corsair CV550,Storage:Crucial P3 1TB NVMe SSD,0.018,0.2205882352941176,1.2937726410212176
GPU:Radeon RX 6500 XT,PSU:Corsair CV550,0.0633,0.8125802310654685,1.2916551121689215
CPU:AMD Ryzen 7 5800X3D,PSU:Corsair CV550,0.0143,0.8125,1.291527579081227
GPU:Radeon RX 6500 XT | RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.0285,0.811965811965812,1.2906784485229883
Motherboard:MSI MAG B560M Mortar WiFi | Storage:WD Black SN770 1TB NVMe SSD,PSU:Corsair CV550,0.0177,0.8119266055045872,1.2906161270141268
GPU:Radeon RX 6500 XT | RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550,0.0287,0.8107344632768362,1.288721130626031
Motherboard:Gigabyte B560 AORUS PRO AX | PSU:Corsair CV550,Storage:Crucial P3 1TB NVMe SSD,0.0128,0.21955403087478562,1.2877069259518217
GPU:Radeon RX 6500 XT | Storage:Crucial P3 1TB NVMe SSD,PSU:Corsair CV550,0.0102,0.8095238095238095,1.2867967088281824
CPU:AMD Ryzen 5 5600,PSU:Corsair CV550,0.0106,0.8091603053435115,1.28621889261407
RAM:Kingston Fury Beast 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,Motherboard:Gigabyte B550 AORUS Elite AX V2,0.0142,0.2158054711246201,1.2853214480322817
Motherboard:ASUS TUF Gaming B550-PLUS WiFi II | RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.0291,0.8083333333333335,1.2849043607269646
Motherboard:Gigabyte B560 AORUS PRO AX | PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.0165,0.28301886792452835,1.2846975393759799
GPU:Radeon RX 6600,RAM:Kingston Fury Beast 16GB DDR4,0.0168,0.27586206896551724,1.2830793905372895
CPU:AMD Ryzen 7 3800X,PSU:Corsair CV550,0.0113,0.807142857142857,1.2830120126257465
GPU:GeForce RTX 2060 | RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.027,0.8059701492537313,1.2811479085260393
Motherboard:ASUS TUF Gaming B550-PLUS WiFi II | PSU:Corsair CV550,Storage:WD Black SN770 1TB NVMe SSD,0.0265,0.24469067405355494,1.2811030055159944
Motherboard:Gigabyte B550 AORUS Elite AX V2 | RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.0355,0.8049886621315192,1.2795877636806854
Motherboard:ASUS TUF Gaming B550-PLUS WiFi II | RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550,0.0288,0.8044692737430168,1.2787621582308326
GPU:GeForce RTX 3060 | Storage:WD Black SN770 1TB NVMe SSD,PSU:Corsair CV550,0.0168,0.8038277511961722,1.2777424116931684
Motherboard:Gigabyte B550 AORUS Elite AX V2 | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.0265,0.2349290780141844,1.277482751572509
GPU:Radeon RX 6600 XT,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.014,0.21705426356589147,1.2767897856817145
GPU:GeForce RTX 3060 | RAM:Corsair Vengeance LPX 32GB DDR4,PSU:Corsair CV550,0.0151,0.8031914893617021,1.2767310274387254
GPU:GeForce RTX 3060 | Storage:Samsung 980 1TB NVMe SSD,PSU:Corsair CV550,0.0155,0.8031088082901554,1.276599599888977
RAM:Kingston Fury Beast 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550,0.0528,0.8024316109422492,1.2755231456719904
GPU:Radeon RX 6600,PSU:Corsair CV550 | RAM:Kingston Fury Beast 16GB DDR4,0.0132,0.2167487684729064,1.2749927557229788
Motherboard:Gigabyte B560 AORUS PRO AX | PSU:Corsair CV550,Storage:Samsung 980 1TB NVMe SSD,0.0139,0.23842195540308747,1.2749837187330881
Motherboard:MSI MAG B560M Mortar WiFi | RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550,0.0231,0.8020833333333334,1.2749695331955704
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:Samsung 980 1TB NVMe SSD,PSU:Corsair CV550,0.0369,0.8004338394793926,1.272347543283091
GPU:Radeon RX 6600,Storage:Crucial P3 1TB NVMe SSD,0.0132,0.2167487684729064,1.2712537740346415
PSU:Corsair CV550 | Storage:Crucial P3 1TB NVMe SSD,RAM:Corsair Vengeance LPX 16GB DDR4,0.0339,0.27993393889347645,1.270694230111105
Motherboard:MSI B550M PRO-VDH WiFi | Storage:Crucial P3 1TB NVMe SSD,PSU:Corsair CV550,0.0239,0.7993311036789298,1.2705946648846445
Motherboard:Gigabyte B560 AORUS PRO AX,RAM:Corsair Vengeance LPX 16GB DDR4,0.022,0.2798982188295165,1.2705320872878643
Motherboard:Gigabyte B550 AORUS Elite AX V2 | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:WD Black SN770 1TB NVMe SSD,0.0107,0.24263038548752833,1.270316154384965
CPU:AMD Ryzen 5 5600X,PSU:Corsair CV550,0.0111,0.7985611510791367,1.2693707694788376
GPU:GeForce GTX 1660 Super | Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550,0.0291,0.7972602739726028,1.267302931127965
GPU:Radeon RX 6600 XT,RAM:Corsair Vengeance LPX 16GB DDR4,0.018,0.27906976744186046,1.2667715271986404
GPU:Radeon RX 6500 XT | Motherboard:Gigabyte B550 AORUS Elite AX V2,PSU:Corsair CV550,0.0102,0.796875,1.266690510252742
GPU:Radeon RX 6500 XT | Motherboard:MSI B550M PRO-VDH WiFi,PSU:Corsair CV550,0.0168,0.7962085308056871,1.2656311092126642
Motherboard:Gigabyte B560 AORUS PRO AX,Storage:Samsung 980 1TB NVMe SSD,0.0186,0.23664122137404578,1.265461076866555
RAM:Kingston Fury Beast 16GB DDR4 | Storage:Samsung 980 1TB NVMe SSD,PSU:Corsair CV550,0.0359,0.7960088691796009,1.2653137326014956
RAM:G.Skill Ripjaws V 32GB DDR4,Motherboard:Gigabyte B550 AORUS Elite AX V2,0.033,0.21235521235521235,1.2647719616153208
Motherboard:MSI MAG B560M Mortar WiFi | PSU:Corsair CV550,Storage:WD Black SN770 1TB NVMe SSD,0.0177,0.2411444141689373,1.262536199837368
GPU:GeForce GTX 1660 Super | Motherboard:Gigabyte B550 AORUS Elite AX V2,PSU:Corsair CV550,0.0135,0.7941176470588235,1.2623074981065388
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:Crucial P3 1TB NVMe SSD,PSU:Corsair CV550,0.0339,0.7939110070257611,1.2619790288122097
Motherboard:MSI B550M PRO-VDH WiFi | RAM:Corsair Vengeance LPX 16GB DDR4,Storage:WD Black SN770 1TB NVMe SSD,0.0121,0.24103585657370516,1.2619678354644248
GPU:GeForce RTX 3060 | Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,PSU:Corsair CV550,0.0154,0.7938144329896907,1.2618255173894304
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:WD Black SN770 1TB NVMe SSD,PSU:Corsair CV550,0.0381,0.7937500000000001,1.2617230964870452
Motherboard:ASUS Prime B560M-A | RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.0277,0.7936962750716332,1.2616376968234513
Motherboard:Gigabyte B560 AORUS PRO AX,Storage:Crucial P3 1TB NVMe SSD,0.0169,0.2150127226463104,1.2610716870751342
PSU:Corsair CV550 | RAM:Corsair Vengeance LPX 32GB DDR4,Storage:WD Black SN770 1TB NVMe SSD,0.0256,0.24082784571966134,1.2608787734013682
RAM:G.Skill Ripjaws V 32GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550,0.013,0.7926829268292682,1.2600269064207092
Motherboard:ASUS Prime B560M-A | RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550,0.0294,0.7924528301886792,1.2596611511503404
GPU:GeForce RTX 3070 | PSU:Corsair CV550,Motherboard:Gigabyte B550 AORUS Elite AX V2,0.0123,0.211340206185567,1.2587266598306552
Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550,0.1456,0.7917346383904296,1.258519533286329
PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.1456,0.2314417421713559,1.258519533286329
Motherboard:Gigabyte B550 AORUS Elite AX V2 | RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550,0.033,0.7913669064748201,1.25793499678083
RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550,0.17,0.7906976744186047,1.2568712039717131
PSU:Corsair CV550,RAM:Kingston Fury Beast 16GB DDR4,0.17,0.2702273088539183,1.2568712039717131
GPU:GeForce GTX 1660 Super | RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.0272,0.7906976744186046,1.256871203971713
GPU:GeForce GTX 1660 Super,Storage:WD Black SN770 1TB NVMe SSD,0.0226,0.23991507430997874,1.2560998654972708
Storage:Samsung 990 Pro 2TB NVMe SSD,RAM:Corsair Vengeance LPX 32GB DDR4,0.0243,0.20334728033472804,1.2560054375214826
PSU:Corsair CV550 | RAM:G.Skill Ripjaws V 32GB DDR4,Storage:WD Black SN770 1TB NVMe SSD,0.0243,0.23988153998025666,1.255924293090349
GPU:GeForce RTX 3060 | RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550,0.0173,0.7899543378995434,1.2556896167533673
GPU:GeForce GTX 1660 Super,PSU:Corsair CV550,0.0744,0.7898089171974522,1.2554584600182042
GPU:GeForce RTX 3060 Ti | RAM:G.Skill Ripjaws V 32GB DDR4,PSU:Corsair CV550,0.0169,0.7897196261682242,1.2553165254621272
GPU:GeForce GTX 1660 Super | Motherboard:ASUS Prime B560M-A,PSU:Corsair CV550,0.012,0.7894736842105263,1.2549255829129333
Motherboard:Gigabyte B560 AORUS PRO AX | RAM:Kingston Fury Beast 16GB DDR4,PSU:Corsair CV550,0.018,0.7894736842105262,1.254925582912933
RAM:Corsair Vengeance LPX 16GB DDR4,PSU:Corsair CV550,0.1738,0.7889241942805266,1.2540521288833677
PSU:Corsair CV550,RAM:Corsair Vengeance LPX 16GB DDR4,0.1738,0.2762676839930059,1.2540521288833677
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,PSU:Corsair CV550,0.0534,0.7887740029542099,1.2538133888955807
CPU:AMD Ryzen 7 3800XT,PSU:Corsair CV550,0.0149,0.7883597883597884,1.2531549648065305
GPU:GeForce RTX 2060 | Motherboard:Gigabyte B550 AORUS Elite AX V2,PSU:Corsair CV550,0.0134,0.788235294117647,1.2529570721946384
